"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: DENV2_1A",NA,0.999760076775432,NA,NA,0,NA,NA,0,0,0.000239923224568138,NA
"Class: DENV2_1C",0.909090909090909,1,1,0.9997594997595,1,0.909090909090909,0.952380952380952,0.00263915547024952,0.00239923224568138,0.00239923224568138,0.954545454545455
"Class: DENV2_1D",0.666666666666667,1,1,0.999759961593855,1,0.666666666666667,0.8,0.000719769673704415,0.000479846449136276,0.000479846449136276,0.833333333333333
"Class: DENV2_1E",1,1,1,1,1,1,1,0.000479846449136276,0.000479846449136276,0.000479846449136276,1
"Class: DENV2_2A",1,1,1,1,1,1,1,0.000719769673704415,0.000719769673704415,0.000719769673704415,1
"Class: DENV2_2B",0.888888888888889,1,1,0.999759615384615,1,0.888888888888889,0.941176470588235,0.00215930902111324,0.00191938579654511,0.00191938579654511,0.944444444444444
"Class: DENV2_2C",0.888888888888889,1,1,0.999759615384615,1,0.888888888888889,0.941176470588235,0.00215930902111324,0.00191938579654511,0.00191938579654511,0.944444444444444
"Class: DENV2_2D",0.833333333333333,1,1,0.99975978861398,1,0.833333333333333,0.909090909090909,0.00143953934740883,0.00119961612284069,0.00119961612284069,0.916666666666667
"Class: DENV2_2E",1,1,1,1,1,1,1,0.00239923224568138,0.00239923224568138,0.00239923224568138,1
"Class: DENV2_3A",1,1,1,1,1,1,1,0.000239923224568138,0.000239923224568138,0.000239923224568138,1
"Class: DENV2_3AB",0.388888888888889,1,1,0.997356404710406,1,0.388888888888889,0.56,0.00431861804222649,0.00167946257197697,0.00167946257197697,0.694444444444444
"Class: DENV2_3AC",0.415730337078652,1,1,0.987412248850157,1,0.415730337078652,0.587301587301587,0.0213531669865643,0.00887715930902111,0.00887715930902111,0.707865168539326
"Class: DENV2_3AD",0.707903780068729,1,1,0.978546188793539,1,0.707903780068729,0.82897384305835,0.0698176583493282,0.0494241842610365,0.0494241842610365,0.853951890034364
"Class: DENV2_3AE",0.208333333333333,1,1,0.995435983665626,1,0.208333333333333,0.344827586206897,0.00575815738963532,0.00119961612284069,0.00119961612284069,0.604166666666667
"Class: DENV2_3AF",0.831081081081081,0.999751243781094,0.991935483870966,0.993818001978239,0.991935483870968,0.831081081081081,0.904411764705882,0.0355086372360845,0.029510556621881,0.0297504798464491,0.915416162431088
"Class: DENV2_3AG",0.430379746835443,1,1,0.98911465892598,1,0.430379746835443,0.601769911504425,0.0189539347408829,0.0081573896353167,0.0081573896353167,0.715189873417722
"Class: DENV2_3AH",0.909090909090909,1,1,0.998785818358426,1,0.909090909090909,0.952380952380952,0.0131957773512476,0.0119961612284069,0.0119961612284069,0.954545454545455
"Class: DENV2_3AI",0.702380952380952,1,1,0.993915794597226,1,0.702380952380952,0.825174825174825,0.0201535508637236,0.0141554702495202,0.0141554702495202,0.851190476190476
"Class: DENV2_3AJ",0.682481751824818,1,1,0.978146194423512,1,0.682481751824818,0.811279826464208,0.0657389635316699,0.0448656429942418,0.0448656429942418,0.841240875912409
"Class: DENV2_3AJ1",NA,0.997120921305182,NA,NA,0,NA,NA,0,0,0.00287907869481766,NA
"Class: DENV2_3AK",0.460526315789474,1,1,0.990079845148802,1,0.460526315789474,0.630630630630631,0.0182341650671785,0.00839731285988484,0.00839731285988484,0.730263157894737
"Class: DENV2_3AL",0.313868613138686,1,1,0.977212121212121,1,0.313868613138686,0.477777777777778,0.0328694817658349,0.0103166986564299,0.0103166986564299,0.656934306569343
"Class: DENV2_3AM",0.323971915747242,1,1,0.824707412223667,1,0.323971915747242,0.489393939393939,0.239203454894434,0.0774952015355086,0.0774952015355086,0.661985957873621
"Class: DENV2_3C",1,1,1,1,1,1,1,0.000959692898272553,0.000959692898272553,0.000959692898272553,1
"Class: DENV2_3D",0.571428571428571,1,1,0.999279538904899,1,0.571428571428571,0.727272727272727,0.00167946257197697,0.000959692898272553,0.000959692898272553,0.785714285714286
"Class: DENV2_3E",0.25,1,1,0.999280057595392,1,0.25,0.4,0.000959692898272553,0.000239923224568138,0.000239923224568138,0.625
"Class: DENV2_3F",1,1,1,1,1,1,1,0.000239923224568138,0.000239923224568138,0.000239923224568138,1
"Class: DENV2_3G",0.75,1,1,0.999759903961585,1,0.75,0.857142857142857,0.000959692898272553,0.000719769673704415,0.000719769673704415,0.875
"Class: DENV2_3H",1,1,1,1,1,1,1,0.000239923224568138,0.000239923224568138,0.000239923224568138,1
"Class: DENV2_3K",NA,1,NA,NA,NA,NA,NA,0,0,0,NA
"Class: DENV2_3L",1,1,1,1,1,1,1,0.000479846449136276,0.000479846449136276,0.000479846449136276,1
"Class: DENV2_3M",0.333333333333333,1,1,0.999520038396928,1,0.333333333333333,0.5,0.000719769673704415,0.000239923224568138,0.000239923224568138,0.666666666666667
"Class: DENV2_3N",0.25,1,1,0.999280057595392,1,0.25,0.4,0.000959692898272553,0.000239923224568138,0.000239923224568138,0.625
"Class: DENV2_3O",1,1,1,1,1,1,1,0.00119961612284069,0.00119961612284069,0.00119961612284069,1
"Class: DENV2_3Q",0.666666666666667,1,1,0.999759961593855,1,0.666666666666667,0.8,0.000719769673704415,0.000479846449136276,0.000479846449136276,0.833333333333333
"Class: DENV2_3S",1,1,1,1,1,1,1,0.000479846449136276,0.000479846449136276,0.000479846449136276,1
"Class: DENV2_3T",1,1,1,1,1,1,1,0.000239923224568138,0.000239923224568138,0.000239923224568138,1
"Class: DENV2_3W",NA,0.999760076775432,NA,NA,0,NA,NA,0,0,0.000239923224568138,NA
"Class: DENV2_3X",0.333333333333333,1,1,0.99903984637542,1,0.333333333333333,0.5,0.00143953934740883,0.000479846449136276,0.000479846449136276,0.666666666666667
"Class: DENV2_3Y",1,0.999519807923169,0.600000000000017,1,0.6,1,0.75,0.000719769673704415,0.000719769673704415,0.00119961612284069,0.999759903961585
"Class: DENV2_3Z",1,0.999760019198464,0.500000000000011,1,0.5,1,0.666666666666667,0.000239923224568138,0.000239923224568138,0.000479846449136276,0.999880009599232
"Class: DENV2_4B",0.857142857142857,1,1,0.999277108433735,1,0.857142857142857,0.923076923076923,0.0050383877159309,0.00431861804222649,0.00431861804222649,0.928571428571429
"Class: DENV2_4C",0.333333333333333,1,1,0.99903984637542,1,0.333333333333333,0.5,0.00143953934740883,0.000479846449136276,0.000479846449136276,0.666666666666667
"Class: DENV2_4D",1,1,1,1,1,1,1,0.000479846449136276,0.000479846449136276,0.000479846449136276,1
"Class: DENV2_4F",1,1,1,1,1,1,1,0.000239923224568138,0.000239923224568138,0.000239923224568138,1
"Class: DENV2_4H",0.916666666666667,1,1,0.99975944190522,1,0.916666666666667,0.956521739130435,0.00287907869481766,0.00263915547024952,0.00263915547024952,0.958333333333333
"Class: DENV2_5A",0.471698113207547,1,1,0.979477156120205,1,0.471698113207547,0.641025641025641,0.038147792706334,0.0179942418426104,0.0179942418426104,0.735849056603774
"Class: DENV2_5B",0.494219653179191,1,1,0.90852064819655,1,0.494219653179191,0.661508704061896,0.166026871401152,0.0820537428023033,0.0820537428023033,0.747109826589595
"Class: DENV2_6A",0.966666666666667,1,1,0.999513381995134,1,0.966666666666667,0.983050847457627,0.0143953934740883,0.013915547024952,0.013915547024952,0.983333333333333
"Class: DENV2_6B",0.973154362416107,1,1,0.999005717126522,1,0.973154362416107,0.986394557823129,0.0357485604606526,0.03478886756238,0.03478886756238,0.986577181208054
"Class: DENV2_6C",0.717607973421927,0.99974140160331,0.995391705069124,0.978486459124272,0.995391705069124,0.717607973421927,0.833976833976834,0.0722168905950096,0.0518234165067179,0.052063339731286,0.858674687512619
"Class: DENV2_6D",0.326018808777429,1,1,0.947096456692913,1,0.326018808777429,0.491725768321513,0.0765355086372361,0.0249520153550864,0.0249520153550864,0.663009404388715
"Class: DENV2_6E",0.735294117647059,1,1,0.995628946090335,1,0.735294117647059,0.847457627118644,0.0163147792706334,0.0119961612284069,0.0119961612284069,0.867647058823529
"Class: DENV2_6F",1,1,1,1,1,1,1,0.000239923224568138,0.000239923224568138,0.000239923224568138,1
"Class: DENV2_TBD",NA,0.536468330134357,NA,NA,0,NA,NA,0,0,0.463531669865643,NA
